"agricultural_veterinary_sciences","arts_design","business_management_law","education_training","engineering_technology","health_medicine","humanities_languages","ict","natural_sciences","social_behavioral_sciences","services","transport_safety_security_military"
"Natural Resource Management","Fine Art Education","Human Resource Management","Pre-school Education","Aerospace Engineering","Health Management and Informatics","Indonesian Language and Literature","Robotics Engineering","Geophysics and Planetary Science","Science","NA","NA"
"Nematology","Fine/Studio Art","Human Resources","Primary Education","Aerospace/Manufacturing/Construction Engineering","Health Management and Policy","International Area Studies","Semiconductor and Laser","Geosciences","Social Analysis and Research","NA","NA"
"Nutritional Science","French","Industrial and Systems Engineering","Public Health Education","Agricultural Engineering","Health Policy","International Communication","Smart Media","German Studies","Social and Decision Science","NA","NA"
"Pharmacy","French and Francophone Studies","Industrial Engineering","Rehabilitation and Human Services","Air Traffic Management","Health Policy Analysis","International Relations","Software","Global Environment and Disaster Prevention","Social Relations and Policy","NA","NA"
"Plant","French Literature","Information","Religious Education","Aircraft Maintenance Engineering","Health Policy and Administration","International Studies","Software Development","Health and Environmental Science","Social Science","NA","NA"
"Plant and Environmental Protection","Game and Interactive Media Design","Information and Decision Science","Russian Pedagogy","Applied Chemistry","Health Professions","Interpreting Studies","Software Engineering","History","Social Science and Humanities","NA","NA"
"Plant and Environmental Science","Game Art and Design","Information and Management Science","School Leadership","Applied Mathematics and Physics","Health Professions and Allied Health","Islamic Studies","Software Engineering Technology","Home Economics","Social Studies","NA","NA"
"Plant Biology","Game Design","Information and System Engineering","School Psychology","Applied Physics","Health Professions and Allied Health Science","Italian","Software Systems","Hydrogeology","Social Welfare","NA","NA"
"Plant Breeding and Genetics","German","Information Systems","Science Education","Applied Physics and Chemistry","Health Promotion","Italian Language and Literature","Statistics","Information and Computer Science","Social Work","NA","NA"
"Plant Pathology","German Literature","Information Technology and Web Science","Science Teacher Education","Applied Physics and Electronics","Health Promotion and Education","Italian Studies","Statistics and Machine Learning","Integrated Science","Sociology","NA","NA"
"Plant Pathology and Plant-Microbe Biology","Global Creative Studies","Insurance","Secondary Education","Architectural and Environmental Design","Health Science","Japanese","System and Information Engineering","Integrative Biology","Sociology and Anthropology","NA","NA"
"Plant Production Science","Global Studies","Intellectual Property Law","Secondary Education and Teaching","Architectural Engineering","Health Science and Technology","Japanese Language","Systems Science and Informatics","Jewish Studies","Southeast Asian Studies","NA","NA"
"Plant Protection","Graphic Design","International Affairs","Social Studies Education","Architectural Environment and Design 

","Health Services","Japanese Language and Culture","Telecommunication Engineering","Journalism and Communication","Sports Coaching","NA","NA"
"Plant Resources and Environmental Science","History","International Business","Social Studies Teacher Education","Architecture","Health Services Administration","Japanese Language and Literature","Telecommunications","Law","Sports Management","NA","NA"
"Plant Science","History and Philosophy of Science","International Business Administration","Social Welfare","Architecture and Building Engineering","Health Services/Science","Japanese Literature","NA","Life Science","Technology and Society","NA","NA"
"Post-Harvest Technology","History of Art and Architecture","International Business Law","Social Work","Artificial Intelligence","Healthcare Administration","Jewish History","NA","Life Science and Technology","Tourism","NA","NA"
"Poultry Science","Home Economics","International Business/Trade/Commerce","Sociology Education","Artificial Intelligence Engineering","Healthcare Management","Jewish Philosophy","NA","Linguistics","Urban and Community Planning","NA","NA"
"Pre-Veterinary Medicine","Humanities","International Commerce","Special Education","Automotive Engineering","Homeopathic Medicine","Jewish Studies","NA","Literature","Urban and Regional Planning","NA","NA"
"Range and Wildlife Management","Humanities and Science","International Development Engineering","Special Education and Teaching","Aviation Services","Homeopathy","Journalism","NA","Marine Biology","Urban Studies","NA","NA"
"Range Science","Humanities and Social Science","International Economics","Sport and Entertainment Management","Bioengineering","Human and Organizational Development","Journalism and Broadcasting","NA","Marine Science","Urban Studies/Affairs","NA","NA"
